"donor_id","infection","hpi","condition","cell_type","n_cells","EA_release_score","EA_recycle_score","EA_proxy","FLT1_expr","PGF_expr","FLT1_minus_PGF","Angio_stress_score"
"scDonor_Tg1","UI","48h","UI_48h","VCT_CCC",139,0.0555333477094305,0.171598713346522,-0.225126975079136,2.80057387707902,0.604117759054513,0.778730654637745,0.665014638405634
"scDonor_Tg1","UI","48h","UI_48h","VCT_fusing",862,0.11619247436777,0.229985737171361,-0.0872827538625602,2.40341918858464,1.42782758919656,-0.582817704261538,0.802783934308113
"scDonor_Tg1","UI","48h","UI_48h","VCT_p",103,0.0825779274057802,0.239345534970459,-0.451049859054965,1.63132347079735,0.460968570006125,0.0759444654846398,0.441323650708931
"scDonor_Tg1","UI","48h","UI_48h","iEVT",10,0.089529121791323,0.162625086456537,0.139374014293109,2.96024882793427,1.04613308310509,0.330920389689229,0.677304051550371
"scDonor_Tg2","Tg","24h","Tg_24h","EVT_1",5,0.0635216337939103,0.15689909607172,-0.0527364125352778,0.529890024662018,2.12662706375122,-2.90362592113863,0.601341290771961
"scDonor_Tg2","Tg","24h","Tg_24h","EVT_2",8,0.0478732027113438,0.172136555612087,-0.297034206399375,2.83557997643948,0.678510300815105,0.709532322458211,0.822252853108304
"scDonor_Tg2","Tg","24h","Tg_24h","Endo_f",521,0.108352988858255,0.21164117204937,-0.0307041511306672,2.4963814501799,0.301590227949185,0.937360125569249,0.87883174959657
"scDonor_Tg2","Tg","24h","Tg_24h","F",921,0.096109293385062,0.156478557000331,0.240304464946809,1.36620497638835,0.096028890788361,0.344551772301276,0.856437078990159
"scDonor_Tg2","Tg","24h","Tg_24h","F_p",74,0.129120715163849,0.188279410592608,0.315142253162117,1.42148333485868,0.0862613779467505,0.399060665331445,0.82470861969077
"scDonor_Tg2","Tg","24h","Tg_24h","F_sm",20,0.0618911086271207,0.158526412397623,-0.0784644966954972,1.22227430790663,0.112283998727798,0.214436890691462,0.591212433097618
"scDonor_Tg2","Tg","24h","Tg_24h","HBC",2385,0.118946600563767,0.253917849494976,-0.227631889531411,0.112353520560814,0.033555155848807,-0.52625892540096,0.847216934286779
"scDonor_Tg2","Tg","24h","Tg_24h","HBC_p",41,0.144129379675156,0.274463955730927,-0.144961346816333,0.127679318916507,0.0715232923990343,-0.563503364377944,0.753753439240962
"scDonor_Tg2","Tg","24h","Tg_24h","PAMM1",50,0.112259983420372,0.174096182107925,0.262732503700403,0.0650995188951492,0.00718852460384369,-0.528169615524564,1.07881832037653
"scDonor_Tg2","Tg","24h","Tg_24h","PV",320,0.0569422774016857,0.148677072059363,-0.0546733578909834,2.55722139310092,0.257167197670788,1.04069562267498,0.682550146307663
"scDonor_Tg2","Tg","24h","Tg_24h","VCT",449,0.0824116737953074,0.240100370543306,-0.457730225248953,2.02322665991921,0.708941585917383,0.0540767176171946,0.519680813753772
"scDonor_Tg2","Tg","24h","Tg_24h","VCT_CCC",85,0.0617052010899665,0.315569904744625,-1.16200635579979,1.78946182797937,0.542651990494307,0.0907749043939304,0.614519035108701
"scDonor_Tg2","Tg","24h","Tg_24h","VCT_fusing",180,0.0971711595439249,0.250832203775644,-0.400251918582924,2.02539246032635,1.97323283859425,-1.57163101259364,0.814662366165292
"scDonor_Tg2","Tg","24h","Tg_24h","VCT_p",64,0.100112176403248,0.225993444933556,-0.202950191982462,1.40443613240495,0.481247088406235,-0.122283640623502,0.441379519902901
"scDonor_Tg2","Tg","24h","Tg_24h","iEVT",21,0.0833085528796627,0.183122546899886,-0.0572195635033208,3.95356846991039,0.737384747891199,1.4819045142834,0.897288506787245
"scDonor_Tg2","Tg","48h","Tg_48h","EVT_1",3,0.146109197288752,0.224889470636845,0.214188982168241,1.84569267431895,1.71938749154409,-1.38121814468471,0.670378602508988
"scDonor_Tg2","Tg","48h","Tg_48h","EVT_2",37,0.05690384488385,0.154760366758785,-0.0969239013330214,2.45032545521453,1.1216082572937,-0.153077980983292,0.696772356233542
"scDonor_Tg2","Tg","48h","Tg_48h","Endo_f",243,0.131849187677943,0.215200321750386,0.15397460841175,2.685550418165,0.547184980332606,0.764750851464042,0.783492880103029
"scDonor_Tg2","Tg","48h","Tg_48h","F",160,0.103505093728503,0.165686680916697,0.242717276731284,1.44831751864403,0.0590784320607781,0.454407133000972,0.85853318490221
"scDonor_Tg2","Tg","48h","Tg_48h","F_p",11,0.12006017294797,0.191387201981111,0.213061997015824,1.42369470271197,0.114145369692282,0.364847018534665,0.630901457040341
"scDonor_Tg2","Tg","48h","Tg_48h","HBC",1133,0.140677591056403,0.319429788239373,-0.485467928963467,0.120495256513278,0.0391726233163768,-0.527312865257458,0.868925543663319
"scDonor_Tg2","Tg","48h","Tg_48h","HBC_p",4,0.249485143770774,0.417567150294781,-0.192778534442326,0,0,-0.568304046458217,0.653027731925249
"scDonor_Tg2","Tg","48h","Tg_48h","PAMM1",146,0.126962177693572,0.278335194922473,-0.324478588609141,0.166455561575824,0.0468878829724168,-0.502376244928875,0.80388883638347
"scDonor_Tg2","Tg","48h","Tg_48h","PV",238,0.0533509297134663,0.152107613039117,-0.110282172004544,2.38693321928257,0.176611279865273,1.01519653831211,0.597777167686215
"scDonor_Tg2","Tg","48h","Tg_48h","VCT",57,0.0991744330664824,0.22075780797423,-0.175230605677425,2.26891533742871,0.591858210009441,0.391172088111825,0.527258963569214
"scDonor_Tg2","Tg","48h","Tg_48h","VCT_CCC",23,0.062885196528573,0.234885768268419,-0.595660067002142,1.91353405428969,0.431248024753902,0.328296563510232,0.585831892370067
"scDonor_Tg2","Tg","48h","Tg_48h","VCT_fusing",87,0.0970622776968269,0.270174282498058,-0.534470653000132,2.24423696597417,0.980411865930448,-0.127682432786641,0.728257933769173
"scDonor_Tg2","Tg","48h","Tg_48h","VCT_p",17,0.071311219138842,0.23079735137084,-0.492473630153342,1.23853126694174,0.304626448189511,-0.020806263287628,0.34653995530445
"scDonor_Tg2","Tg","48h","Tg_48h","iEVT",10,0.0814802584548791,0.124041364490986,0.333517782367046,3.73016421794891,1.2029339030385,0.713182275262043,0.77802936903068
"scDonor_Tg2","UI","24h","UI_24h","EVT_1",53,0.0931819286548866,0.174188651734928,0.0922342931093332,1.18621158515507,2.41210826387945,-2.77317392742217,0.653936307706601
